nodename,batch,solution,version,git,task,data,timestamp,action,stderr
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_0,1543945240.64218,finish,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e1_0_0,1543945240.65679,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e1_0_0,1543945240.66682,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e1_0_0,1543945513.58363,finish,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_2e0_0_0,1543945513.59685,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_2e0_0_0,1543945513.60551,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_2e0_0_0,1543946038.05601,finish,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_1,1543946038.07005,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_1,1543946038.08093,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_1,1543946175.18359,finish,1
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_1e2_0_0,1543946175.20487,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_0,1543946175.21316,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_0,1543946279.79202,finish,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_1e1_0_0,1543946279.80677,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e1_0_0,1543946279.81717,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e1_0_0,1543946448.86982,finish,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_2e0_0_0,1543946448.88371,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_2e0_0_0,1543946448.89361,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_2e0_0_0,1543946760.49111,finish,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_1e2_0_1,1543946760.50583,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_1,1543946760.51621,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_1,1543946858.57779,finish,2
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_0,1543946858.59728,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_0,1543946858.60659,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_0,1543946956.45,finish,0
