nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1544889852,1544921906,groupby,G1_1e9_2e0_0_0,1000000000,sum v1 by id1,2,2,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,8.112,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544922509,groupby,G1_1e9_2e0_0_0,1000000000,sum v1 by id1,2,2,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,7.915,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544923120,groupby,G1_1e9_2e0_0_0,1000000000,sum v1 by id1:id2,4,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,14.203,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544923730,groupby,G1_1e9_2e0_0_0,1000000000,sum v1 by id1:id2,4,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,14.207,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544925605,groupby,G1_1e9_1e2_0_1,1000000000,sum v1 by id1,100,2,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,7.601,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544925617,groupby,G1_1e9_1e2_0_1,1000000000,sum v1 by id1,100,2,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,7.603,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544925632,groupby,G1_1e9_1e2_0_1,1000000000,sum v1 by id1:id2,10000,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,11.686,NA,TRUE,2999972045,0.001,NA
mr-0xc11,1544889852,1544925648,groupby,G1_1e9_1e2_0_1,1000000000,sum v1 by id1:id2,10000,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,11.695,NA,TRUE,2999972045,0,NA
mr-0xc11,1544889852,1544925855,groupby,G1_1e9_1e2_0_1,1000000000,sum v1 mean v3 by id3,10000000,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,201.487,NA,TRUE,2999972045;481703144,0.067,NA
mr-0xc11,1544889852,1544926058,groupby,G1_1e9_1e2_0_1,1000000000,sum v1 mean v3 by id3,10000000,3,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,197.316,NA,TRUE,2999972045;481703144,0.067,NA
mr-0xc11,1544889852,1544926135,groupby,G1_1e9_1e2_0_1,1000000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,72.629,NA,TRUE,299.9972;300.0019;4817.038,0,NA
mr-0xc11,1544889852,1544926211,groupby,G1_1e9_1e2_0_1,1000000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,72.267,NA,TRUE,299.9972;300.0019;4817.038,0,NA
mr-0xc11,1544889852,1544926749,groupby,G1_1e9_1e2_0_1,1000000000,sum v1:v3 by id6,10000000,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,1,532.249,NA,TRUE,2999972045;3000019420;48170381592,0.093,NA
mr-0xc11,1544889852,1544927280,groupby,G1_1e9_1e2_0_1,1000000000,sum v1:v3 by id6,10000000,4,dplyr,0.7.99.9000,f8f54a9b3bc81b63659ff380e52dac57a6047dc7,group_by,2,525.647,NA,TRUE,2999972045;3000019420;48170381592,0.093,NA
mr-0xc11,1544889852,1544927298.4260385,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,1,0.15,0.448,TRUE,30001016,0.001,
mr-0xc11,1544889852,1544927298.6426349,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,2,0.179,0.448,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927299.2869456,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,1,0.634,0.457,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927299.915763,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,2,0.619,0.448,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927300.3703969,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,2,pandas,0.23.4,,.groupby,1,0.444,0.448,TRUE,30001016;5065689.539,0.001,
